10.2307/j100006|Brittonia
10.2307/j60225641|Earl Grey Pamphlets Collection
10.2307/j60225642|Foreign and Commonwealth Office Collection
10.2307/j50000337|"Bradley, His Book"
10.2307/j50000336|"Proceedings of the Royal Irish Academy. Section C: Archaeology, Celtic Studies, History, Linguistics, Literature"
10.2307/j50000343|Annual Reports of the Dante Society
10.2307/j50000344|"Annual Reports of the Dante Society, with Accompanying Papers"
10.2307/j50000345|"Dante Studies, with the Annual Report of the Dante Society"
10.2307/j50000354|Cosmopolitan Art Journal
10.2307/j50000361|Africa Spectrum
10.2307/j50000356|English Education
10.2307/j50000364|Revista Hispánica Moderna
10.2307/j50000358|The Art Critic
10.2307/j50000359|The Art News
10.2307/j50000387|Keats-Shelley Journal
10.2307/j101351|In Vitro
10.2307/j101420|Corinth
10.2307/j101393|Dead Sea Discoveries
10.2307/j101402|Manoa
10.2307/j101357|Microbial Ecology
10.2307/j101401|NWSA Journal
10.2307/j101302|The American Biology Teacher
10.2307/j101364|Phonology Yearbook
10.2307/j101349|Journal of the English Folk Dance and Song Society
10.2307/j101316|Financial Analysts Journal
10.2307/j101395|Amtliche Berichte aus den Preuszischen Kunstsammlungen
10.2307/j101397|Amtliche Berichte aus den Königlichen Kunstsammlungen
10.2307/j50000058|Ériu
10.2307/j50000035|Journal of Adolescent &amp; Adult Literacy
10.2307/j50000007|The Journal of Infectious Diseases
10.2307/j50000069|Crustaceana. Supplement
10.2307/j50000018|Infection Control
10.2307/j50000023|Journal of the European Economic Association
10.2307/j50000036|Machine Translation
10.2307/j50000043|Behaviour. Supplement
10.2307/j50000074|The Anti-Union
10.2307/j50000140|Publications of the Florida Historical Society
10.2307/j50000081|The National Magazine
10.2307/j50000116|Browning Institute Studies
10.2307/j50000162|Synthese
10.2307/j50000183|Radharc
10.2307/j50000192|International Journal of Anthropology 
10.2307/j50000184|California Historical Society Quarterly
10.2307/j50000214|Labour / Le Travail
10.2307/j50000208|Studies: An Irish Quarterly Review
10.2307/j50000221|Proceedings of the Harvard Celtic Colloquium
10.2307/j50000171|Harvard Review
10.2307/j50000223|The Journal of Educational Research
10.2307/j50000243|The Linen Hall Review
10.2307/j50000233|The Sewanee Review
10.2307/j50000278|Notre Dame English Journal
10.2307/j50000301|Eolas: The Journal of the American Society of Irish Medieval Studies
10.2307/j50000302|Pädagogische Monatshefte / Pedagogical Monthly
10.2307/j50000304|Monatshefte für deutschen Unterricht
10.2307/j50000305|Monatshefte
10.2307/j50000309|Irish Arts Review (1984-1987)
10.2307/j50000310|The GPA Irish Arts Review Yearbook
10.2307/j50000312|Irish Arts Review (2002-)
10.2307/j50000280|Historische Zeitschrift
10.2307/j60200134|LSE Selected Pamphlets
10.2307/j50000307|Biology and Environment: Proceedings of the Royal Irish Academy
10.2307/j50000316|The International History Review
10.2307/j50000391|Journal of Instructional Development
10.2307/j50000392|Audio Visual Communication Review
10.2307/j50000393|AV Communication Review
10.2307/j50000379|Mathematics in School
10.2307/j50000388|The Crayon
10.2307/j101384|Journal of Coastal Research
10.2307/j101359|Reviews of Infectious Diseases
10.2307/j101360|The Kenyon Review
10.2307/j101309|The Cambridge Law Journal
10.2307/j101346|Language in Society
10.2307/j101377|Iran
10.2307/j101301|Africa Today
10.2307/j101358|State &amp; Local Government Review
10.2307/j50000061|The Journal of Religious Ethics
10.2307/j50000068|Journal of the Arizona-Nevada Academy of Science
10.2307/j50000003|Journal of the American Research Center in Egypt
10.2307/j50000046|Books Abroad
10.2307/j50000042|Russian Linguistics
10.2307/j50000021|Women's Studies Quarterly
10.2307/j101448|Public Health Reports (1974-)
10.2307/j101451|Health Services Reports
10.2307/j101457|I Tatti Studies: Essays in the Renaissance
10.2307/j101446|Journal of Post Keynesian Economics
10.2307/j101380|New Mexico Anthropologist
10.2307/j101445|Policy Sciences
10.2307/j101454|Bios
10.2307/j101456|Human Ecology
10.2307/j101458|Willdenowia. Beiheft
10.2307/j101375|Midwest Folklore
10.2307/j50000098|Brookings-Wharton Papers on Urban Affairs
10.2307/j50000100|Brookings Papers on Education Policy
10.2307/j50000102|Archives of Asian Art
10.2307/j50000107|Economic Theory
10.2307/j50000103|Early American Literature
10.2307/j50000111|The Southern Literary Journal
10.2307/j50000112|Economía
10.2307/j50000119|Innovation Policy and the Economy
10.2307/j50000120|Journal of Southeast Asian History
10.2307/j50000113|Transactions of the American Entomological Society (1867-1877)
10.2307/j50000118|The Pennsylvania Magazine of History and Biography
10.2307/j50000005|Journal of Feminist Studies in Religion
10.2307/j50000010|Human Studies
10.2307/j50000008|Oceanic Linguistics Special Publications
10.2307/j50000137|Massachusetts Historical Review
10.2307/j50000159|Narrative
10.2307/j50000195|The Journal of Ethics
10.2307/j50000197|The Irish Journal of Education / Iris Eireannach an Oideachais
10.2307/j50000194|Journal of Religion and Health
10.2307/j50000204|Archivium Hibernicum
10.2307/j50000224|Arion
10.2307/j50000238|Current Directions in Psychological Science
10.2307/j50000229|Ulster Journal of Archaeology
10.2307/j50000240|Irish Archaeological Research Forum
10.2307/j50000247|Advances in Archaeological Method and Theory
10.2307/j50000248|Archaeological Method and Theory
10.2307/j50000249|Journal of Archaeological Method and Theory
10.2307/j50000180|Cahiers du Monde russe et soviétique
10.2307/j50000262|The Journal of Pacific History
10.2307/j50000212|British Medical Journal (Clinical Research Edition)
10.2307/j50000211|The British Medical Journal
10.2307/j50000286|Journal of the Association of Avian Veterinarians
10.2307/j50000287|Journal of Avian Medicine and Surgery
10.2307/j50000299|Theatre Ireland
10.2307/j50000306|"Proceedings of the Royal Irish Academy. Section B: Biological, Geological, and Chemical Science"
10.2307/j50000313|Mitteilungen des Kunsthistorischen Institutes in Florenz
10.2307/j50000342|Language Resources and Evaluation
10.2307/j50000372|"Journal of Logic, Language, and Information"
10.2307/j50000376|The Irish Review (1986-)
10.2307/j50000377|European Demographic Information Bulletin
10.2307/j50000321|London Journal of Medicine
10.2307/j50000348|Provincial Medical and Surgical Journal (1840-1842)
10.2307/j50000349|Provincial Medical Journal and Retrospect of the Medical Sciences
10.2307/j50000320|Provincial Medical and Surgical Journal (1844-1852)
10.2307/j101304|Bird-Banding
10.2307/j50000045|Classical Antiquity
10.2307/j101412|Folia Geobotanica
10.2307/j101347|Memoirs of the American Academy in Rome
10.2307/j50000019|Infection Control and Hospital Epidemiology
10.2307/j50000025|Foundations of Language
10.2307/j50000026|Linguistics and Philosophy
10.2307/j50000037|Anthropological Linguistics
10.2307/j101408|The Academy of Management Executive (1993-2005)
10.2307/j101435|The Executive
10.2307/j101390|The Academy of Management Executive (1987-1989)
10.2307/j101452|Behavioral Ecology and Sociobiology
10.2307/j50000078|Gadelica: A Journal of Modern Irish Studies
10.2307/j50000079|The Irish Review (Dublin)
10.2307/j50000086|The Celtic Review
10.2307/j50000024|Public Choice
10.2307/j50000141|The Florida Historical Society Quarterly
10.2307/j50000142|The Florida Historical Quarterly
10.2307/j50000151|The Bulletin of the Cleveland Museum of Art
10.2307/j50000132|Ambio Special Report
10.2307/j50000155|National News Letter of Phi Delta Kappa
10.2307/j50000163|The Chaucer Review
10.2307/j50000188|Bulletin of the Ecological Society of America
10.2307/j50000196|College Literature
10.2307/j50000216|Asian Ethnology
10.2307/j50000250|Bulletin. British Association for American Studies
10.2307/j50000251|Journal of American Studies
10.2307/j50000256|Presidential Studies Quarterly
10.2307/j50000241|Zeitschrift für allgemeine Wissenschaftstheorie / Journal for General Philosophy of Science
10.2307/j50000242|Journal for General Philosophy of Science / Zeitschrift für allgemeine Wissenschaftstheorie
10.2307/j50000253|Michigan Historical Review
10.2307/j50000252|The Great Lakes Review
10.2307/j50000270|Books Ireland
10.2307/j50000264|The South Carolina Historical and Genealogical Magazine
10.2307/j50000277|Psychological Science
10.2307/j50000260|Annales d'histoire sociale (1945)
10.2307/j50000213|BMJ: British Medical Journal
10.2307/j50000303|Monatshefte für deutsche Sprache und Pädagogik
10.2307/j50000311|Irish Arts Review Yearbook
10.2307/j50000297|The Town Planning Review
10.2307/j50000300|Chicago Review
10.2307/j50000314|Computers and Translation
10.2307/j50000340|International Perspectives on Sexual and Reproductive Health
10.2307/j50000395|Educational Technology Research and Development
10.2307/j50000357|Selected Addresses Delivered at the Conference on English Education
10.2307/j50000405|Women's Studies International
10.2307/j101303|Berliner Museen
10.2307/j101322|Iraq
10.2307/j101442|The Classical Weekly
10.2307/j101353|Journal of Arabic Literature
10.2307/j101389|MoMA
10.2307/j101430|Members Newsletter
10.2307/j101376|Ars Orientalis
10.2307/j101313|Eastern European Economics
10.2307/j101398|Phonology
10.2307/j50000066|The Catholic Historical Review
10.2307/j50000056|Journal of Earth Sciences
10.2307/j50000055|Nordic Irish Studies
10.2307/j50000062|Proceedings of the American Academy of Arts and Sciences
10.2307/j50000063|Daedalus
10.2307/j101450|HSMHA Health Reports
10.2307/j50000070|Foreign Affairs
10.2307/j50000075|Vegetatio
10.2307/j50000076|Plant Ecology
10.2307/j50000089|Writing Ulster
10.2307/j50000090|Irish Pages
10.2307/j50000077|The Belfast Monthly Magazine
10.2307/j50000099|Brookings Trade Forum
10.2307/j50000094|"Sankhy?: The Indian Journal of Statistics, Series A"
10.2307/j50000095|"Sankhy?: The Indian Journal of Statistics, Series B"
10.2307/j50000105|Eighteenth-Century Ireland / Iris an dá chultúr
10.2307/j50000130|Early American Literature Newsletter
10.2307/j50000122|Interfaces
10.2307/j50000114|Transactions of the American Entomological Society and Proceedings of the Entomological Section of the Academy of Natural Sciences
10.2307/j50000115|Transactions of the American Entomological Society (1890-)
10.2307/j50000133|Journal of World History
10.2307/j50000131|Bulletin of the Committee on Canadian Labour History / Bulletin du Comité sur l'Histoire Ouvrière Canadienne
10.2307/j50000149|Review of International Studies
10.2307/j50000147|R.M.A. Research Chronicle
10.2307/j50000157|Journal of the Kansas Entomological Society
10.2307/j50000167|International Journal of Hindu Studies
10.2307/j50000172|Journal of Business and Psychology
10.2307/j50000104|American Indian Law Review 
10.2307/j50000165|Archaeology Ireland
10.2307/j50000193|Dublin Historical Record
10.2307/j50000189|Lindbergia
10.2307/j50000199|Studien zur Altägyptischen Kultur
10.2307/j50000177|Journal of Population
10.2307/j50000178|Population and Environment
10.2307/j50000170|Harvard Book Review
10.2307/j50000228|New Hibernia Review / Iris Éireannach Nua
10.2307/j50000237|Papers of the Abraham Lincoln Association
10.2307/j50000236|Journal of the Abraham Lincoln Association
10.2307/j50000263|Zeitschrift für Papyrologie und Epigraphik
10.2307/j50000257|Annales d'histoire économique et sociale
10.2307/j50000273|Tobacco Control
10.2307/j50000291|Proceedings of the Royal Irish Academy (1836-1869)
10.2307/j50000292|Proceedings of the Royal Irish Academy. Science
10.2307/j50000293|Proceedings of the Royal Irish Academy. Polite Literature and Antiquities
10.2307/j50000294|Proceedings of the Royal Irish Academy (1889-1901)
10.2307/j50000295|Proceedings of the Royal Irish Academy. Section A: Mathematical and Physical Sciences
10.2307/j50000296|Mathematical Proceedings of the Royal Irish Academy
10.2307/j50000290|James Joyce Quarterly
10.2307/j50000335|Health and History
10.2307/j50000331|The Art Union
10.2307/j50000351|The Midwest Sociologist
10.2307/j50000353|Harvard Art Museum Annual Report
10.2307/j50000362|The Art Review
10.2307/j50000325|The Junior High Clearing House (1920-1921)
10.2307/j50000326|The Junior High School Clearing House
10.2307/j50000329|The Clearing House
10.2307/j101433|The Wilson Quarterly (1892)
10.2307/j101431|The Ornithologists' and Oologists' Semi-Annual
10.2307/j101422|The Wilson Journal of Ornithology
10.2307/j101337|Phronesis
10.2307/j101320|Historia: Zeitschrift für Alte Geschichte
10.2307/j101331|Middle East Journal
10.2307/j101332|Middle Eastern Studies
10.2307/j101367|Social History
10.2307/j101365|Journal of Vertebrate Paleontology
10.2307/j101407|In Vitro Cellular &amp; Developmental Biology. Animal
10.2307/j101363|Revista de Crítica Literaria Latinoamericana
10.2307/j101417|Annual Report (Harvard Art Museum)
10.2307/j101373|Acquisitions (Fogg Art Museum)
10.2307/j101345|Ambio
10.2307/j101315|Economic Botany
10.2307/j101314|Economic and Political Weekly
10.2307/j101378|Politics and the Life Sciences
10.2307/j101338|Plant Physiology
10.2307/j101340|Studies in Philology
10.2307/j101341|Syria
10.2307/j101366|The Threepenny Review
10.2307/j101300|Acta Sociologica
10.2307/j101427|Coleopterists Society Monographs. Patricia Vaurie Series
10.2307/j101330|Louisiana History: The Journal of the Louisiana Historical Association
10.2307/j101409|Lenox Avenue: A Journal of Interarts Inquiry
10.2307/j101327|Journal of the History of Biology
10.2307/j101326|Journal of Linguistics
10.2307/j101323|Journal of Economic Issues
10.2307/j101355|Journal of Advertising
10.2307/j101324|Jewish Social Studies
10.2307/j101308|Cahiers d'Études Africaines
10.2307/j101392|Museum of Fine Arts Bulletin
10.2307/j101339|The Slavonic and East European Review
10.2307/j101416|The Slavonic Review
10.2307/j101372|Journal of the Folk-Song Society
10.2307/j101371|The English Folk-Dance Society's Journal
10.2307/j101426|The Journal of the English Folk Dance Society
10.2307/j101374|Folk Music Journal
10.2307/j50000034|Journal of Reading
10.2307/j101421|Academy of Management Perspectives
10.2307/j50000002|Area
10.2307/j50000015|Victorian Poetry
10.2307/j50000027|American Philosophical Quarterly
10.2307/j50000011|The Annual of the British School at Athens
10.2307/j50000150|Journal of New Zealand Literature: JNZL
10.2307/j50000134|Studies in Soviet Thought
10.2307/j50000135|Studies in East European Thought
10.2307/j50000022|Language Acquisition
10.2307/j50000148|British Journal of International Studies
10.2307/j50000156|The Phi Delta Kappan
10.2307/j50000176|Études rurales
10.2307/j50000110|Tax Policy and the Economy
10.2307/j50000032|Water Environment Research
10.2307/j50000031|Research Journal of the Water Pollution Control Federation
10.2307/j50000030|Journal (Water Pollution Control Federation)
10.2307/j50000029|Sewage and Industrial Wastes
10.2307/j50000072|Memoirs of the American Academy of Arts and Sciences
10.2307/j50000083|The Cambro-Briton
10.2307/j50000084|The Catholic Layman
10.2307/j50000087|Kerry Archaeological Magazine
10.2307/j50000085|The Irish Church Quarterly
10.2307/j50000106|Journal of Transport Economics and Policy
10.2307/j50000117|Victorian Literature and Culture
10.2307/j50000175|The Massachusetts Review
10.2307/j50000191|Ecological Bulletins
10.2307/j50000198|Rhetorica: A Journal of the History of Rhetoric
10.2307/j50000185|California Historical Quarterly
10.2307/j50000186|California History
10.2307/j50000207|The Review of Metaphysics
10.2307/j50000181|Cahiers du Monde russe
10.2307/j50000267|Journal of the Royal Asiatic Society of Great Britain and Ireland
10.2307/j50000275|Psychological Science in the Public Interest
10.2307/j50000272|&quot;Before I Forget?&quot;: Journal of the Poyntzpass and District Local History Society
10.2307/j60225640|Bristol Selected Pamphlets
10.2307/j50000366|Revista de Letras
10.2307/j50000367|Lawyer of the Americas
10.2307/j50000368|The University of Miami Inter-American Law Review
10.2307/j50000363|The Furrow
10.2307/j50000370|Oral History
10.2307/j50000322|Association Medical Journal
10.2307/j50000378|Social Science Japan Journal
10.2307/j50000373|Revista espan?ola de la opinio?n pu?blica
10.2307/j50000371|Stanford Intramural Law Review
10.2307/j101343|The Wilson Bulletin
10.2307/j101306|Botanical Review
10.2307/j101311|The Classical World
10.2307/j101307|The British Museum Quarterly
10.2307/j101329|Linguistic Inquiry
10.2307/j101325|The Journal of Developing Areas
10.2307/j101369|The J. Paul Getty Museum Journal
10.2307/j101437|Notes (Fogg Art Museum)
10.2307/j101391|Bulletin of the Museum of Fine Arts
10.2307/j101379|MFA Bulletin
10.2307/j101381|"M Bulletin (Museum of Fine Arts, Boston)"
10.2307/j101370|Annual Report (Fogg Art Museum)
10.2307/j101403|Director's Report (Harvard University Art Museums)
10.2307/j101440|Supplementary Papers of the American School of Classical Studies in Rome
10.2307/j50000059|Irish Studies in International Affairs
10.2307/j50000053|Irish Journal of American Studies
10.2307/j50000054|The Journal of Irish Archaeology
10.2307/j50000044|California Studies in Classical Antiquity
10.2307/j50000014|"International Journal of Politics, Culture, and Society"
10.2307/j50000073|Systematic Botany Monographs
10.2307/j101362|American Marketing Journal
10.2307/j101361|National Marketing Review
10.2307/j101459|The Wisconsin Magazine of History
10.2307/j50000091|Cahiers du Séminaire d'Économétrie
10.2307/j50000108|Journal of International Marketing
10.2307/j50000092|Annales de l'inséé
10.2307/j50000093|Annales d'Économie et de Statistique
10.2307/j50000009|Religious Studies
10.2307/j50000152|Physiological Zoology
10.2307/j50000153|Physiological and Biochemical Zoology
10.2307/j50000154|Crustaceana
10.2307/j50000164|Journal of East Asian Linguistics
10.2307/j50000145|The Reading Teacher
10.2307/j50000166|Mississippi Review
10.2307/j50000206|Irish University Review
10.2307/j50000205|University Review
10.2307/j50000209|Memoirs of the Society for American Archaeology
10.2307/j50000203|The Transactions of the Royal Irish Academy
10.2307/j50000210|The Iowa Review
10.2307/j50000244|European Journal of Population / Revue Européenne de Démographie
10.2307/j50000265|The South Carolina Historical Magazine
10.2307/j50000258|Annales d'histoire sociale (1939-1941)
10.2307/j50000259|Mélanges d'histoire sociale
10.2307/j50000261|"Annales. Histoire, Sciences Sociales"
10.2307/j50000298|Buildings &amp; Landscapes: Journal of the Vernacular Architecture Forum
10.2307/j50000285|AAV Today
10.2307/j50000315|Crítica: Revista Hispanoamericana de Filosofía
10.2307/j50000374|Reis
10.2307/j50000308|Change
10.2307/j50000386|Geschichte und Gesellschaft
10.2307/j50000394|Educational Communication and Technology
10.2307/j50000406|Journal of the County Louth Archaeological Society
10.2307/j50000407|Journal of the County Louth Archaeological and Historical Society
10.2307/j50000409|International Journal
10.2307/j50000413|Journal of Narrative Theory
10.2307/j50000414|The Journal of Narrative Technique
10.2307/j50000412|International Journal of the Classical Tradition
10.2307/j50000398|Journal of the Illinois State Historical Society (1908-1984)
10.2307/j50000419|Journal of Science Education and Technology
10.2307/j50000399|Illinois Historical Journal
10.2307/j50000400|Journal of the Illinois State Historical Society (1998-)
10.2307/j50000420|The Canadian Journal of Irish Studies
10.2307/j50000422|Fortnight
10.2307/j50000421|Geschichte und Gesellschaft. Sonderheft
10.2307/j50000411|Ohio Mycological Bulletin
10.2307/j50000410|Mycological Bulletin
10.2307/j50000390|Gnomon
10.2307/j50000425|Newsletter: European Labor and Working Class History
10.2307/j50000426|"Journal of the Museum of Fine Arts, Boston"
10.2307/j50000424|The Illustrated Magazine of Art
10.2307/j50000429|The Irish Naturalist
10.2307/j50000430|The Irish Naturalists' Journal
10.2307/j50000427|Historische Zeitschrift. Beihefte
10.2307/j50000423|World Policy Journal
10.2307/j50000360|Rocky Mountain Review
10.2307/j50000433|Béaloideas
10.2307/j50000437|The Harp
10.2307/j50000438|Journal of Irish Studies
10.2307/j50000408|Journal of the Galway Archaeological and Historical Society
10.2307/j50000435|Research in Higher Education
10.2307/j50000428|Journal of Philosophical Logic
10.2307/j50000431|The Journal of Race Development
10.2307/j50000432|The Journal of International Relations
10.2307/j50000436|Clogher Record
10.2307/j50000447|Intégral
10.2307/j50000415|Revue d'histoire moderne et contemporaine (1899-1914)
10.2307/j50000416|Revue d'histoire moderne
10.2307/j50000417|Etudes d'histoire moderne et contemporaine
10.2307/j50000418|Revue d'histoire moderne et contemporaine (1954-)
10.2307/j50000449|The Bulletin of Historical Research in Music Education
10.2307/j50000450|Journal of Historical Research in Music Education
10.2307/j50000434|North Irish Roots
10.2307/j50000441|Northern Notes &amp; Queries
10.2307/j50000442|"The Scottish Antiquary, or, Northern Notes and Queries"
10.2307/j50000443|The Scottish Historical Review
10.2307/j50000458|Academy of Management Learning &amp; Education
10.2307/j50000451|Text
10.2307/j50000452|Textual Cultures
10.2307/j50000448|Studies in the American Renaissance
10.2307/j50000444|The Lotus Magazine
10.2307/j50000445|Art &amp; Life
10.2307/j50000446|Book History
10.2307/j50000401|NBER International Seminar on Macroeconomics
10.2307/j50000461|Revista de libros
10.2307/j50000462|Revista de libros de la Fundación Caja Madrid
10.2307/j50000403|The Decorator and Furnisher
10.2307/j50000463|Classics Ireland
10.2307/j50000467|Journal of Public Administration Education
10.2307/j50000466|Journal of Public Affairs Education
10.2307/j50000465|The American Sociologist
10.2307/j50000464|Circa
10.2307/j50000470|Journal of Economic Growth
10.2307/j50000283|Tsiyon
10.2307/j50000284|Zion
10.2307/j50000365|Horizons in Geography
10.2307/j50000369|Tarbiz
10.2307/j50000472|Japanese Journal of Religious Studies
10.2307/j50000471|Contemporary Religions in Japan
10.2307/j50000459|The Journal of Germanic Philology
10.2307/j50000460|The Journal of English and Germanic Philology
10.2307/j50000473|Marketing Letters
10.2307/j50000453|The Journal of Library History
10.2307/j50000454|"Journal of Library History, Philosophy, and Comparative Librarianship"
10.2307/j50000455|The Journal of Library History (1974-1987)
10.2307/j50000456|Libraries &amp; Culture
10.2307/j50000457|Libraries &amp; the Cultural Record
10.2307/j50000439|Journal of Renaissance and Baroque Music
10.2307/j50000440|Musica Disciplina
10.2307/j50000474|Chasqui
10.2307/j50000482|Irish Journal of Agricultural Research
10.2307/j50000483|Irish Journal of Agricultural Economics and Rural Sociology
10.2307/j50000484|Irish Journal of Food Science and Technology
10.2307/j50000485|Irish Journal of Agricultural and Food Research
10.2307/j50000468|The Quarterly of the Texas State Historical Association
10.2307/j50000469|The Southwestern Historical Quarterly
10.2307/j50000492|Quaderni Urbinati di Cultura Classica
10.2307/j50000491|Seanchas Ardmhacha: Journal of the Armagh Diocesan Historical Society
10.2307/j50000493|Center House Bulletin
10.2307/j50000495|Hispamérica
10.2307/j50000266|Transactions of the Royal Asiatic Society of Great Britain and Ireland
10.2307/j50000477|AAUP Bulletin
10.2307/j50000478|Academe
10.2307/j50000497|Change in Higher Education
10.2307/j50000500|The Connoisseur
10.2307/j50000499|The Illustrated Wood Worker
10.2307/j50000498|The Soil
10.2307/j50000494|Journal of Medical Ethics
10.2307/j50000486|British Journal of Social Medicine
10.2307/j50000501|The Workshop
10.2307/j50000487|British Journal of Preventive and Social Medicine
10.2307/j50000488|Journal of Epidemiology and Community Health (1978)
10.2307/j50000489|Epidemiology and Community Health
10.2307/j50000490|Journal of Epidemiology and Community Health (1979-)
10.2307/j50000503|Small Business Economics
10.2307/j50000506|Population Research and Policy Review
10.2307/j50000507|Canadian Journal of Philosophy
10.2307/j50000513|English in Africa
10.2307/j50000509|Materiali e discussioni per l'analisi dei testi classici
10.2307/j50000512|Philosophy &amp; Rhetoric
10.2307/j50000504|British Journal of Industrial Medicine
10.2307/j50000505|Occupational and Environmental Medicine
10.2307/j50000496|The New Path
10.2307/j50000479|Management International
10.2307/j50000480|Management International Review
10.2307/j50000481|MIR: Management International Review
10.2307/j50000508|The Wilson Quarterly (1976-)
10.2307/j50000475|Comhar
10.2307/j50000517|Yale Law &amp; Policy Review
10.2307/j50000510|Art and Progress
10.2307/j50000511|The American Magazine of Art
10.2307/j50000514|Papers of the British School at Rome
10.2307/j50000525|"The Artist: An Illustrated Monthly Record of Arts, Crafts and Industries (American Edition)"
10.2307/j50000520|Cahiers de musiques traditionnelles
10.2307/j50000521|Cahiers d?ethnomusicologie
10.2307/j50000528|Review (Fernand Braudel Center)
10.2307/j50000526|New England Review and Bread Loaf Quarterly
10.2307/j50000527|New England Review (1990-)
10.2307/j50000518|Bulletin van het Rijksmuseum
10.2307/j50000519|The Rijksmuseum Bulletin
10.2307/j50000529|For the Learning of Mathematics
10.2307/j50000515|The Art World
10.2307/j50000531|Comparative Literature Studies
10.2307/j50000534|The Art News (1923-)
10.2307/j50000533|American Art News
10.2307/j50000522|The Aldine
10.2307/j50000530|BOMB
10.2307/j50000535|The Review of Insurance Studies
10.2307/j50000537|Fine Arts Journal
10.2307/j50000540|Modern Art
10.2307/j50000523|The Quarterly Illustrator
10.2307/j50000524|The Monthly Illustrator
10.2307/j50000516|Annual Report of the Trustees of the Metropolitan Museum of Art
10.2307/j50000532|Glotta
10.2307/j50000542|American Art Illustrated
10.2307/j50000538|The Agricultural History Review
10.2307/j50000536|The New York Latin Leaflet
10.2307/j50000547|Estudios Sociológicos
10.2307/j50000550|The American Art Review
10.2307/j50000546|Estudios Económicos
10.2307/j50000544|Estudios de Asia y Africa
10.2307/j50000543|Estudios Orientales
10.2307/j50000552|Estudios Demográficos y Urbanos
10.2307/j50000553|The Art Journal (1875-1887)
10.2307/j50000551|Nueva Revista de Filología Hispánica
10.2307/j50000545|Australian Archaeology
10.2307/j50000556|Music Perception: An Interdisciplinary Journal
10.2307/j50000539|Megamot
10.2307/j50000558|Arctic Anthropology
10.2307/j50000541|The Art Amateur
10.2307/j50000614|College Music Symposium
10.2307/j50000557|The American Archivist
10.2307/j50000554|Roundtable Reports
10.2307/j50000555|The Journal of Museum Education
10.2307/j50000560|Aleph
10.2307/j50000562|Archaeology &amp; Physical Anthropology in Oceania
10.2307/j50000563|Archaeology in Oceania
10.2307/j50000569|Meridians
10.2307/j50000570|Journal for Early Modern Cultural Studies
10.2307/j50000548|Weltwirtschaftliches Archiv
10.2307/j50000549|Review of World Economics / Weltwirtschaftliches Archiv
10.2307/j50000568|Bridges
10.2307/j50000561|Studi Storici
10.2307/j50000572|The Global South
10.2307/j50000575|International Journal of Feminist Approaches to Bioethics
10.2307/j50000576|Ethics and the Environment
10.2307/j50000571|Philosophy of Music Education Review
10.2307/j50000574|Eastern Economic Journal
10.2307/j50000565|Bulletin of the American Art-Union
10.2307/j50000566|Transactions of the Apollo Association for the Promotion of the Fine Arts in the United States
10.2307/j50000567|Transactions of the American Art-Union
10.2307/j50000573|New Labor Forum
10.2307/j50000577|The Kiva
10.2307/j50000578|Israel Studies
10.2307/j50000582|Journal of Education for Librarianship
10.2307/j50000583|Journal of Education for Library and Information Science
10.2307/j50000580|Oceania
10.2307/j50000586|La Linguistique
10.2307/j50000584|Transactions of the Charles S. Peirce Society
10.2307/j50000589|Journal of Middle East Women's Studies
10.2307/j50000591|Nashim: A Journal of Jewish Women's Studies &amp; Gender Issues
10.2307/j50000581|Paideuma
10.2307/j50000590|Bulletin of the Council for Research in Music Education
10.2307/j50000594|Schools: Studies in Education
10.2307/j50000596|Poetry
10.2307/j50000579|Watson's Art Journal
10.2307/j50000564|The Collector
10.2307/j50000587|Historia Social
10.2307/j50000588|Aula-Historia Social
10.2307/j50000597|Translation and Literature
10.2307/j50000595|Revista Portuguesa de Filosofia
10.2307/j50000602|Guaraguao
10.2307/j50000601|Revista Chilena de Literatura
10.2307/j50000609|Foro Internacional
10.2307/j50000610|Cuadernos de Pensamiento Político
10.2307/j50000611|Race/Ethnicity: Multidisciplinary Global Contexts
10.2307/j50000603|Cahiers Vilfredo Pareto
10.2307/j50000604|Revue européenne des sciences sociales
10.2307/j50000613|Ploughshares
10.2307/j50000612|Profession
10.2307/j50000585|The High School Journal
10.2307/j50000592|The Quarterly of the Oregon Historical Society
10.2307/j50000619|New England Review (1978-1982)
10.2307/j50000593|Oregon Historical Quarterly
10.2307/j50000620|Diderot Studies
10.2307/j50000605|Journal of Spanish Studies: Twentieth Century
10.2307/j50000607|Anales de la narrativa española contemporánea
10.2307/j50000606|Anales de la novela de posguerra
10.2307/j50000608|Anales de la literatura española contemporánea
10.2307/j50000624|Nouvelle Revue du XVIe Siècle
10.2307/j50000625|Seizième Siècle
10.2307/j50000618|Studies in Romanticism
10.2307/j50000621|Anthropos
10.2307/j50000622|"Papers of the Bibliographical Society, University of Virginia"
10.2307/j50000623|Studies in Bibliography
10.2307/j50000598|Newsletter. African Music Society
10.2307/j50000599|The African Music Society Newsletter
10.2307/j50000626|Journal of Omicron Chi Epsilon
10.2307/j50000600|African Music
10.2307/j50000627|The American Economist
10.2307/j50000632|History of Philosophy Quarterly
10.2307/j50000633|International Studies of Management &amp; Organization
10.2307/j50000639|Journal of Management Information Systems
10.2307/j50000628|"American Literary Realism, 1870-1910"
10.2307/j50000629|American Literary Realism
10.2307/j50000630|Anthropologica
10.2307/j50000631|The World Today
